num_layer,num_hidden,dropout,lr,mean_acc,std_acc,mean_auc,std_auc,mean_bal_acc,std_bal_acc
2,32,0.2,0.005,0.8996527791023254,0.014227636248657879,0.8880949503594552,0.02404069499109642,0.6847094813231965,0.033223514802778506
2,32,0.2,0.001,0.9092013895511627,0.014484827165135428,0.8861287481220479,0.017639745394832054,0.704867029531077,0.03279056051694507
2,32,0.2,0.0005,0.8984374940395355,0.01512012365770551,0.8795283043542834,0.014531467732958454,0.6883729048277843,0.03951784026984572
2,64,0.2,0.005,0.8994791626930236,0.014451491744443197,0.8790862047618649,0.02286050405658886,0.657582650945505,0.043995077413170915
2,64,0.2,0.001,0.9081597328186035,0.018770084678998485,0.8896667978664471,0.016233824079198423,0.7277891482771988,0.03257223858894837
2,64,0.2,0.0005,0.90434028506279,0.01510416043216453,0.8836684717199093,0.02136708654501393,0.7013159273141734,0.051238833979977055
3,32,0.2,0.005,0.9020833373069763,0.014022794756869201,0.8773132526835011,0.012517902639854049,0.6755440422817218,0.041852684768592024
3,32,0.2,0.001,0.9060763895511628,0.016533211496126316,0.8919730570115689,0.02104029827261529,0.7000744224555226,0.044257894406781066
3,32,0.2,0.0005,0.8993055582046509,0.015035163718994996,0.8786897597063537,0.015638398624097067,0.6899505409323604,0.03900429874252544
3,64,0.2,0.005,0.8960069358348847,0.01742090512086601,0.8597124338768868,0.016750714811723803,0.60056783129076,0.042938217238135
3,64,0.2,0.001,0.9022569477558136,0.01406250257551823,0.8814085547463473,0.018464364326794665,0.7220584978120889,0.04567640371501162
3,64,0.2,0.0005,0.9062500059604645,0.011116538340772373,0.8915498044054813,0.017560070270026935,0.7110840736374959,0.04486800781827785
4,32,0.2,0.005,0.8880208373069763,0.017623878908353492,0.8503175050737678,0.02248239657474355,0.5748072608886902,0.050223004762727404
4,32,0.2,0.001,0.9017361044883728,0.012715158030565407,0.8810986854832249,0.015737218519494247,0.6939096064776811,0.04068152225426162
4,32,0.2,0.0005,0.8947916686534881,0.015277771516285362,0.8745859995002345,0.016170108552341744,0.6421036651126629,0.02525219488433
4,64,0.2,0.005,0.8911458253860474,0.018537408083811074,0.8462979783489928,0.025394214888193996,0.594832199453873,0.040488597451847554
4,64,0.2,0.001,0.9036458253860473,0.016010852169745054,0.8822392694340927,0.021247625226787324,0.6971093892882226,0.032093633334594356
4,64,0.2,0.0005,0.9013888895511627,0.01635634315242218,0.8844380866619769,0.017472015275873373,0.6895426971183565,0.04868950580074085
2,32,0.4,0.005,0.8960069298744202,0.012506026913000729,0.8816070497315783,0.01733137138047517,0.6570021952924241,0.055728529147631295
2,32,0.4,0.001,0.8973958373069764,0.01803300175627392,0.8849611762115044,0.016756392773576444,0.6769396046417995,0.06965788579982125
2,32,0.4,0.0005,0.8958333313465119,0.017378465138218054,0.875325984359369,0.01641936299151355,0.6480288261007251,0.06036302141443577
2,64,0.4,0.005,0.8939236104488373,0.016405112454458352,0.867147091588871,0.027600925252210237,0.6292599239018937,0.06616685709290099
2,64,0.4,0.001,0.9083333432674408,0.010057469396258827,0.8900567024572992,0.022670798075865816,0.7125295939322167,0.04823893469309526
2,64,0.4,0.0005,0.9072916686534882,0.013718568531850694,0.890495805781315,0.012226726310057195,0.6918144498181642,0.036927245282557364
3,32,0.4,0.005,0.8895833313465118,0.013088944804614231,0.8597402698706386,0.0220414751921436,0.5431051112674312,0.05836351912201366
3,32,0.4,0.001,0.9022569358348846,0.011332699409129747,0.8860373961916841,0.017932350043157234,0.7016237627892965,0.03691252621292404
3,32,0.4,0.0005,0.8923611044883728,0.014442103679727966,0.8716964359808094,0.016071619468299648,0.618444781609556,0.05287217291869002
3,64,0.4,0.005,0.8939236104488373,0.015243217506453778,0.8557135602766224,0.03015009555552648,0.5844516592507073,0.04461823392454338
3,64,0.4,0.001,0.9039930522441864,0.01730981166453728,0.8884579416940307,0.021338036852401814,0.6924655708665499,0.040188596998140806
3,64,0.4,0.0005,0.9050347208976746,0.014443148787055656,0.8884035000779609,0.01823513969173331,0.7087603852267481,0.04031656158630994
4,32,0.4,0.005,0.8826388955116272,0.014776331175228639,0.8453817496235623,0.017963752368092136,0.5325751624627847,0.04218704769390341
4,32,0.4,0.001,0.8993055522441864,0.01294539142285952,0.8795227258439704,0.019103883065434514,0.6497978045403097,0.0637236984101492
4,32,0.4,0.0005,0.8927083373069763,0.013841079175336139,0.8711989751603788,0.016606244810175735,0.6446810991969489,0.029555148790918705
4,64,0.4,0.005,0.8864583373069763,0.018409325314101485,0.8457518209598944,0.0214060595618534,0.5398017600064103,0.035328163552632845
4,64,0.4,0.001,0.9036458313465119,0.01070913625859444,0.8834400273873355,0.013468984106434245,0.707342251898638,0.02833318528686467
4,64,0.4,0.0005,0.9032986164093018,0.015016103320049786,0.8876048318646943,0.019481882100000663,0.6984511131969594,0.03242019161090763
2,32,0.6,0.005,0.88472221493721,0.017485656799803812,0.8567205992831595,0.02818349390090735,0.5048854388716835,0.01243005028916898
2,32,0.6,0.001,0.8906250059604645,0.014504586227449998,0.880044445057117,0.02086982619640098,0.54212437298936,0.03895580819183397
2,32,0.6,0.0005,0.8855902791023255,0.017780530989255944,0.8750520813160746,0.014107120040380625,0.5083642197291711,0.014557366217464942
2,64,0.6,0.005,0.890972226858139,0.018743572327931234,0.868141763531845,0.022549244421424447,0.5725106361632979,0.05106344314303319
2,64,0.6,0.001,0.9026041567325592,0.013502659572592914,0.888225620502946,0.02046703380692827,0.7140011464814028,0.02795084664275568
2,64,0.6,0.0005,0.90034721493721,0.013271888485777612,0.8879812625981941,0.01460464941724758,0.7006345612595257,0.01816070972124517
3,32,0.6,0.005,0.8848958194255829,0.015874744371410315,0.8058327653902767,0.10326449194225487,0.5,0.0
3,32,0.6,0.001,0.8909722208976746,0.01458332879203502,0.886051404545532,0.014983781974154738,0.5600779807572763,0.027423950334568084
3,32,0.6,0.0005,0.8871527731418609,0.018536602747370883,0.8741462948530228,0.020787305281100517,0.5228292332533289,0.03411653910309907
3,64,0.6,0.005,0.8848958194255829,0.015988258842132803,0.8329783725701023,0.030047663498676554,0.5118798449612403,0.03563953488372091
3,64,0.6,0.001,0.8947916686534881,0.01643722413299113,0.8838483394391616,0.014125538113088885,0.6535149424956636,0.058464594803364356
3,64,0.6,0.0005,0.8986111164093018,0.018261385064835094,0.8855919660134886,0.02068775897025869,0.7072542534178035,0.0324840011854293
4,32,0.6,0.005,0.8848958253860474,0.014975916355158965,0.8249300642681767,0.018618697756626043,0.5,0.0
4,32,0.6,0.001,0.8904513835906982,0.01656963947032748,0.8770157797385529,0.026463172203942776,0.5324598348386592,0.03175846955141679
4,32,0.6,0.0005,0.8850694358348846,0.017218166117980407,0.8686370210540563,0.01404754074919001,0.507654495263191,0.012020358732083715
4,64,0.6,0.005,0.8845486104488373,0.015878541087587666,0.8362281619791352,0.019877594661419546,0.5043450537438513,0.013035161231554005
4,64,0.6,0.001,0.9026041686534881,0.01902527502468036,0.8803604537671571,0.022085875106240913,0.6937922967929827,0.038356248567154784
4,64,0.6,0.0005,0.9006944477558136,0.014500427768446093,0.8839177763229322,0.021506765258700083,0.6784330252882756,0.03780931361294681
